IHA Percentile Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
9434001,,,,,,
,,,,,,
,Period of Analysis: 1947-2019 ( 58 years),,,,,
,,,Period of Analysis,,,
,10%,25%,50%,75%,90%,(75-25)/50
Parameter Group #1,,,,,,
January,2.375,3.925,6.04,9.228,13.41,0.8779
February,1.687,2.765,3.378,5.226,8.373,0.7287
March,1.548,2.148,2.99,4.589,10.51,0.8164
April,1.9,2.59,4.683,8.054,16.12,1.167
May,4.265,6.96,12.45,29.09,62.92,1.778
June,17.39,34.85,54.28,84.19,112.2,0.909
July,31.36,49.8,70.8,95.23,131.5,0.6416
August,37.66,45.28,59.3,72.95,90.06,0.4667
September,31.22,36.25,44.83,56.83,67,0.459
October,17.46,20.73,30.2,40.3,54.21,0.6482
November,10.18,12.63,16.75,25.13,38.92,0.7463
December,4.802,7.72,10.07,15.65,25.7,0.7875
,,,,,,
Parameter Group #2,,,,,,
1-day minimum,0.8226,1.338,2.045,3.08,4.939,0.8521
3-day minimum,0.8669,1.359,2.105,3.208,5.003,0.8781
7-day minimum,0.9205,1.434,2.166,3.279,5.169,0.8515
30-day minimum,1.437,1.666,2.718,3.877,6.036,0.8134
90-day minimum,2.073,2.707,3.774,5.343,9.004,0.6986
1-day maximum,90.44,144.3,177,240.3,323.1,0.5424
3-day maximum,87.3,130.9,165.2,219.2,263,0.5343
7-day maximum,78.94,112.8,144.5,184.6,212.5,0.4975
30-day maximum,55.53,82.44,106.5,130.1,139.5,0.4472
90-day maximum,41.09,62.35,79.84,93.92,111.2,0.3954
Number of zero days,0,0,0,0,0,0
Base flow index,0.02809,0.05393,0.07444,0.101,0.1428,0.6322
,,,,,,
Parameter Group #3,,,,,,
Date of minimum,10.8,51.25,74.5,94.5,104.7,0.1182
Date of maximum,155.4,175,204,234.8,254,0.1633
,,,,,,
Parameter Group #4,,,,,,
Low pulse count,1,2,4,6,7,1
Low pulse duration,3.5,6.75,11.75,32.13,57.25,2.16
High pulse count,2,3,5,8,9.1,1
High pulse duration,2,3,5,12.75,24.8,1.95
,,,,,,
Parameter Group #5,,,,,,
Rise rate,0.3625,1.075,1.723,2.403,3.101,0.7711
Fall rate,-1.3,-1.1,-0.8089,-0.56,-0.4,-0.6676
Number of reversals,40.9,70,89.5,100.5,112.2,0.3408
,,,,,,
EFC Monthly Low Flows,,,,,,
January   Low Flow,3.257,4.368,6.04,9.113,12.77,0.7856
February  Low Flow,3.246,3.525,4.02,5.554,8.228,0.5047
March     Low Flow,3.117,3.264,3.698,5.46,10.36,0.594
April     Low Flow,3.266,3.788,5.3,7.983,16.9,0.7915
May       Low Flow,5.098,6.973,10.9,23.23,36.47,1.491
June      Low Flow,11.34,19.63,31.8,39.15,43.48,0.614
July      Low Flow,20.08,30.88,37.85,44.31,45.78,0.355
August    Low Flow,34.45,36.89,41.03,44.55,47.51,0.1868
September Low Flow,29.3,33.45,38.2,41.3,44.29,0.2055
October   Low Flow,16.92,20.2,29.15,33.7,44.39,0.4631
November  Low Flow,10.16,12.45,16.65,23.82,34.06,0.6827
December  Low Flow,4.794,7.7,9.74,15.2,24.05,0.77
,,,,,,
EFC Flow Parameters,,,,,,
Extreme low peak,1.181,1.708,2.303,2.59,2.757,0.3833
Extreme low duration,3,4.375,8,15.5,25.5,1.391
Extreme low timing,49.6,58.88,72.5,81.25,90.4,0.06113
Extreme low freq.,0,0,2.5,4,6,1.6
High flow peak,55.28,58.18,63.7,76.58,106,0.2889
High flow duration,2,2.125,3,8.75,16.3,2.208
High flow timing,172.3,198.1,227.8,253.8,278.2,0.152
High flow frequency,2,3,4,7,9,1
High flow rise rate,4.785,7.44,10.54,16.1,23.59,0.8213
High flow fall rate,-11.02,-8.494,-6.037,-4.558,-3.096,-0.6519
Small Flood peak,181,202.3,219,251.5,273,0.2249
Small Flood duration,26,42.13,61.5,86.75,102.5,0.7256
Small Flood timing,149,160.5,189.5,209.3,242,0.1332
Small Flood freq.,0,0,0,1,1,0
Small Flood riserate,3.338,5.012,14.29,28.7,54.66,1.658
Small Flood fallrate,-10.55,-8.227,-6.781,-3.631,-2.333,-0.6779
Large flood peak,333,337,354,373.5,390,0.1031
Large flood duration,36,42.5,50,82.5,88,0.8
Large flood timing,184,187,207,266,287,0.2158
Large flood freq.,0,0,0,0,0.1,0
Large flood riserate,5.281,5.67,13.21,22.54,22.73,1.277
Large flood fallrate,-18,-15.73,-11.37,-8.035,-7.914,-0.6766
